Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Type,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,At Fault,Injury Severity,Safety Equipment,Latitude,Longitude,Location
MCP2563001L,230017107,Montgomery County Police,Injury Crash,04/10/2023 04:21:00 PM,Maryland (State),MUNCASTER MILL RD,Unknown,STRUC #15015 ROCK CREEK,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,WARNING SIGN,NONE DETECTED,NONE DETECTED,2D1655C2-78EB-4552-899C-4C57B12B59E9,PEDESTRIAN,Cross/Enter not at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes,SUSPECTED SERIOUS INJURY,NONE,39.13764511,-77.12946041,"(39.13764511, -77.12946041)"
MCP2771002B,230034003,Montgomery County Police,Injury Crash,07/17/2023 12:53:00 PM,County,PECAN DR,County,BUTTERNUT DR,,N/A,OTHER,SINGLE VEHICLE,CLOUDY,DRY,DAYLIGHT,N/A,,N/A,263E6D27-5F3B-4F27-9D29-B7F2F866CCEB,OTHER,Getting off/on Vehicle,OTHER,OTHER,N/A,LIGHT CLOTHING,Yes,SUSPECTED MINOR INJURY,N/A,39.09178359,-77.09882296,"(39.09178359, -77.09882296)"
MCP2861005Z,230034963,Montgomery County Police,Injury Crash,07/22/2023 06:58:00 PM,,,,,PARKING LOT OF 7101 DEMOCRACY BLVD,,PEDESTRIAN,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,6EED454B-5A6E-487D-8544-F969F2F21350,PEDESTRIAN,Other,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.02406091,-77.14761954,"(39.02406091, -77.14761954)"
MCP3299002R,230034733,Montgomery County Police,Property Damage Crash,07/21/2023 11:52:00 AM,Maryland (State),GEORGIA AVE,County,OLD BALTIMORE RD,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,B056C81B-F1F4-4BA9-83CB-E61F2756C13D,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No,NO APPARENT INJURY,N/A,39.13526333,-77.06976,"(39.13526333, -77.06976)"
MCP3360000L,230046354,Montgomery County Police,Injury Crash,07/25/2023 10:12:00 AM,County,WATKINS MILL RD,County,STEDWICK RD,,N/A,BICYCLIST,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,UNKNOWN,N/A,390AA256-2353-4FB7-92CB-4F3F61C6ED75,BICYCLIST,N/A,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,UNKNOWN,No,SUSPECTED MINOR INJURY,NONE,39.17055765,-77.20888876,"(39.17055765, -77.20888876)"
EJ7858007Y,230034896,Gaithersburg Police Depar,Injury Crash,07/22/2023 12:10:00 PM,Maryland (State),FREDERICK RD,Municipality,WALKER AVE,,GAITHERSBURG,OTHER,OTHER,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,880EEAD6-AD9C-4564-B927-C5E71F103320,OTHER,Cross/Enter at Intersection,OTHER,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.14368238,-77.20112613,"(39.14368238, -77.20112613)"
MCP9365001V,230030221,Montgomery County Police,Injury Crash,06/24/2023 12:39:00 PM,Maryland (State),SANDY SPRING RD,County,DINO DR,,N/A,BICYCLIST,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,330520E8-58AB-4FA9-A7C9-BBCAB80F8496,BICYCLIST,Walking/Riding w/Traffic,INATTENTIVE,OTHER,N/A,N/A,Yes,SUSPECTED SERIOUS INJURY,MC/BIKE HELMET,39.10888866,-76.92287007,"(39.10888866, -76.92287007)"
MCP2348006J,230031638,Montgomery County Police,Fatal Crash,07/03/2023 12:00:00 AM,Maryland (State),NEW HAMPSHIRE AVE,Government,SLIGO CREEK PKWY,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,N/A,ALCOHOL PRESENT,UNKNOWN,805F51DF-272F-47D0-A509-AFC7E05B8594,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,N/A,DARK CLOTHING,No,FATAL INJURY,N/A,38.98109532,-76.98930911,"(38.98109532, -76.98930911)"
MCP3299002R,230034733,Montgomery County Police,Property Damage Crash,07/21/2023 11:52:00 AM,Maryland (State),GEORGIA AVE,County,OLD BALTIMORE RD,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,A714E88C-54D2-4400-88EE-599C0FF52E51,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No,NO APPARENT INJURY,N/A,39.13526333,-77.06976,"(39.13526333, -77.06976)"
EJ78950044,230034533,Gaithersburg Police Depar,Injury Crash,07/20/2023 11:45:00 AM,County,ODENDHAL AVE,County,GOSHEN RD,,N/A,PEDESTRIAN,SAME DIRECTION RIGHT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,EDCADAF6-CD68-43F0-9D4C-BC3E76263C0E,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,POSSIBLE INJURY,NONE,39.1526245,-77.19285418,"(39.1526245, -77.19285418)"
MCP3264003W,230034745,Montgomery County Police,Injury Crash,07/21/2023 01:24:00 PM,Maryland (State),GEORGIA AVE,County,FENWICK LA,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,CC204678-3AA1-41EE-976B-62AC3E32EE34,BICYCLIST,Cross/Enter at Intersection,UNKNOWN,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Unknown,SUSPECTED MINOR INJURY,NONE,38.99828526,-77.03064861,"(38.99828526, -77.03064861)"
EJ7858007X,230033705,Gaithersburg Police Depar,Injury Crash,07/15/2023 12:15:00 PM,Municipality,GIRARD ST,County,GOSHEN RD,,N/A,OTHER,OTHER,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,7827F4C5-AB04-47F3-A8FE-C721EC87EE96,OTHER,Other,OTHER,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,UNKNOWN,Yes,POSSIBLE INJURY,MC/BIKE HELMET,39.15111155,-77.19246255,"(39.15111155, -77.19246255)"
MCP289200F0,230034624,Montgomery County Police,Injury Crash,07/20/2023 06:01:00 PM,County,THAYER AVE,County,FENTON ST,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,0AAE1CD2-5C7A-409E-AADA-1DE7D542C16A,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Yes,POSSIBLE INJURY,NONE,38.99308191,-77.02331513,"(38.99308191, -77.02331513)"
